Total_Energy_Cost_INR,Total_Energy_kWh,Peak_Hour_Load_kW,Makespan_min,Makespan_hours,Machine_Utilization_pct,Average_Waiting_Time_min,Total_Idle_Time_min,Total_Delay_min,Late_Jobs,On_Time_Completion_pct,Total_Carbon_Emissions_tCO2,Total_Power_Factor_Penalty_INR,Algorithm,Seed,N_Jobs,N_Machines,Runtime_s,Solver_Status,Optimality_Proven,Objective_Value,Best_Bound,Warm_Start
185322.65,17578.82,784.48,2850.0,47.5,48.22,65.23,11805.0,0.0,0,100.0,704.677831,31336.57,LPT,51,175,8,0.004,GREEDY,False,,,
173432.15,17405.565,784.48,2865.0,47.75,47.97,71.57,11925.0,0.0,0,100.0,742.995319,29287.02,EDD,51,175,8,0.005,GREEDY,False,,,
193084.8,19032.5125,784.48,2850.0,47.5,48.22,62.23,11805.0,0.0,0,100.0,782.516008,32681.97,Energy_Unaware_Greedy,51,175,8,0.005,GREEDY,False,,,
184802.83,18030.385,784.48,2850.0,47.5,48.22,64.63,11805.0,0.0,0,100.0,744.101387,31196.38,Makespan_Greedy,51,175,8,0.005,GREEDY,False,,,
168955.28,16422.0375,784.48,2850.0,47.5,48.22,86.31,11805.0,0.0,0,100.0,682.494853,28664.23,FD_PDTS_Deterministic,51,175,8,0.032,GREEDY,False,,,
169016.96,16476.8325,784.48,2865.0,47.75,47.97,88.8,11925.0,0.0,0,100.0,697.080352,28590.15,FD_PDTS_Robust,51,175,8,0.032,GREEDY,False,,,
126058.42,12296.855,454.48,2880.0,48.0,47.72,91.63,12045.0,0.0,0,100.0,523.639879,21373.25,CP_SAT_Warm,51,175,8,120.02,FEASIBLE,False,227107810.0,135030380.0,True
87136.14,11905.97,161.48,3315.0,55.25,41.46,477.77,15525.0,450.0,7,96.0,649.299513,15151.34,CP_SAT_Cold,51,175,8,120.05,FEASIBLE,False,137226260.0,14000.0,False
202075.94,21264.5775,784.48,2895.0,48.25,55.63,132.22,10275.0,0.0,0,100.0,863.247516,34240.9,FCFS,52,200,8,0.005,GREEDY,False,,,
185762.35,21248.915,784.48,3060.0,51.0,52.63,139.72,11595.0,750.0,6,97.0,918.843883,31591.94,SPT,52,200,8,0.005,GREEDY,False,,,
209518.25,21470.4175,784.48,2895.0,48.25,55.63,166.72,10275.0,555.0,4,98.0,869.196522,35691.15,LPT,52,200,8,0.005,GREEDY,False,,,
201594.79,21411.86,784.48,2895.0,48.25,55.63,118.88,10275.0,0.0,0,100.0,874.965923,34245.27,EDD,52,200,8,0.006,GREEDY,False,,,
207790.25,21850.73,784.48,2895.0,48.25,55.63,126.83,10275.0,0.0,0,100.0,883.016927,35331.48,Energy_Unaware_Greedy,52,200,8,0.005,GREEDY,False,,,
202333.23,20953.7425,784.48,2895.0,48.25,55.63,131.7,10275.0,0.0,0,100.0,852.881895,34365.84,Makespan_Greedy,52,200,8,0.005,GREEDY,False,,,
190209.28,20239.4575,784.48,2895.0,48.25,55.63,160.65,10275.0,0.0,0,100.0,847.429511,32321.53,FD_PDTS_Deterministic,52,200,8,0.034,GREEDY,False,,,
